id_visitante,obra_visitada,tiempo_minutos,interes,edad,sala,obra_encoded,interes_encoded,cluster
194,Arquitectura Antigua,12,Arte,44,1,0,0,0
195,Arte Moderno,9,Historia,50,6,1,2,0
196,Escultura Religiosa,12,Cultura,20,6,3,1,2
197,Pintura Colonial,7,Cultura,16,3,5,1,2
198,Escultura Religiosa,14,Historia,20,2,3,2,2
199,Arquitectura Antigua,5,Cultura,34,1,0,1,0
200,Fotografía Histórica,18,Cultura,15,2,4,1,2
201,Arquitectura Antigua,7,Historia,25,4,0,2,2
202,Cerámica Indígena,12,Cultura,47,6,2,1,0
203,Escultura Religiosa,11,Historia,37,2,3,2,0
204,Fotografía Histórica,3,Historia,54,2,4,2,1
205,Fotografía Histórica,2,Cultura,51,1,4,1,1
206,Pintura Colonial,10,Cultura,29,6,5,1,2
207,Arte Moderno,18,Historia,58,2,1,2,1
208,Arquitectura Antigua,12,Historia,48,4,0,2,0
209,Arte Moderno,4,Historia,54,6,1,2,1
210,Fotografía Histórica,9,Cultura,55,5,4,1,1
211,Arquitectura Antigua,4,Historia,51,5,0,2,1
212,Arte Moderno,15,Arte,18,1,1,0,2
213,Cerámica Indígena,11,Historia,32,6,2,2,2
214,Arte Moderno,7,Historia,37,1,1,2,0
215,Pintura Colonial,18,Historia,61,2,5,2,1
216,Arquitectura Antigua,9,Cultura,53,3,0,1,1
217,Arquitectura Antigua,7,Cultura,21,3,0,1,2
218,Escultura Religiosa,16,Cultura,43,1,3,1,0
219,Fotografía Histórica,8,Cultura,50,5,4,1,0
220,Arquitectura Antigua,2,Historia,51,3,0,2,1
221,Pintura Colonial,5,Arte,16,2,5,0,2
222,Cerámica Indígena,11,Historia,68,6,2,2,1
223,Cerámica Indígena,16,Historia,38,4,2,2,0
224,Cerámica Indígena,9,Historia,43,4,2,2,0
225,Fotografía Histórica,14,Arte,41,3,4,0,0
226,Arte Moderno,5,Arte,57,3,1,0,1
227,Cerámica Indígena,12,Arte,24,6,2,0,2
228,Arquitectura Antigua,9,Cultura,61,2,0,1,1
229,Arquitectura Antigua,12,Arte,27,6,0,0,2
230,Escultura Religiosa,2,Cultura,54,4,3,1,1
231,Arte Moderno,13,Historia,51,2,1,2,1
232,Pintura Colonial,10,Arte,65,5,5,0,1
233,Arquitectura Antigua,9,Historia,36,3,0,2,0
234,Pintura Colonial,15,Historia,35,2,5,2,0
235,Arquitectura Antigua,5,Arte,37,1,0,0,0
236,Pintura Colonial,9,Cultura,35,1,5,1,0
237,Cerámica Indígena,10,Arte,66,1,2,0,1
238,Cerámica Indígena,10,Cultura,66,1,2,1,1
239,Escultura Religiosa,12,Arte,16,2,3,0,2
240,Arte Moderno,3,Cultura,31,3,1,1,2
241,Arte Moderno,13,Cultura,65,6,1,1,1
242,Pintura Colonial,8,Arte,67,1,5,0,1
243,Pintura Colonial,12,Arte,40,4,5,0,0
244,Escultura Religiosa,18,Cultura,31,4,3,1,2
245,Pintura Colonial,18,Arte,36,4,5,0,0
246,Cerámica Indígena,9,Historia,21,1,2,2,2
247,Cerámica Indígena,18,Historia,43,6,2,2,0
248,Arte Moderno,19,Historia,28,3,1,2,2
249,Escultura Religiosa,3,Arte,42,1,3,0,0
250,Escultura Religiosa,7,Cultura,18,1,3,1,2
251,Cerámica Indígena,8,Cultura,46,2,2,1,0
252,Escultura Religiosa,15,Arte,47,4,3,0,0
253,Escultura Religiosa,8,Historia,22,1,3,2,2
254,Pintura Colonial,4,Cultura,22,6,5,1,2
255,Pintura Colonial,16,Historia,17,3,5,2,2
256,Pintura Colonial,16,Arte,49,6,5,0,0
257,Arquitectura Antigua,12,Historia,68,5,0,2,1
258,Arquitectura Antigua,17,Arte,21,2,0,0,2
259,Pintura Colonial,17,Historia,33,4,5,2,0
260,Cerámica Indígena,19,Arte,15,5,2,0,2
261,Fotografía Histórica,12,Arte,16,3,4,0,2
262,Fotografía Histórica,6,Historia,52,6,4,2,1
263,Pintura Colonial,3,Historia,58,3,5,2,1
264,Fotografía Histórica,13,Historia,24,6,4,2,2
265,Arte Moderno,15,Cultura,46,1,1,1,0
266,Escultura Religiosa,18,Arte,23,2,3,0,2
267,Cerámica Indígena,8,Historia,68,6,2,2,1
268,Arte Moderno,15,Arte,43,5,1,0,0
269,Escultura Religiosa,6,Cultura,20,2,3,1,2
270,Cerámica Indígena,11,Historia,52,2,2,2,1
271,Pintura Colonial,6,Historia,52,2,5,2,1
272,Fotografía Histórica,11,Arte,35,3,4,0,0
273,Pintura Colonial,7,Cultura,54,2,5,1,1
274,Fotografía Histórica,14,Historia,67,2,4,2,1
275,Cerámica Indígena,18,Arte,35,4,2,0,0
276,Arquitectura Antigua,15,Arte,68,3,0,0,1
277,Pintura Colonial,5,Cultura,40,5,5,1,0
278,Cerámica Indígena,12,Cultura,50,1,2,1,0
279,Arte Moderno,8,Cultura,68,2,1,1,1
280,Arquitectura Antigua,6,Historia,50,4,0,2,0
281,Arte Moderno,4,Cultura,31,6,1,1,2
282,Arte Moderno,14,Cultura,48,1,1,1,0
283,Escultura Religiosa,3,Historia,23,1,3,2,2
284,Pintura Colonial,2,Historia,57,2,5,2,1
285,Pintura Colonial,8,Cultura,17,2,5,1,2
286,Cerámica Indígena,13,Cultura,44,6,2,1,0
287,Escultura Religiosa,13,Cultura,51,4,3,1,1
288,Arte Moderno,18,Historia,31,2,1,2,2
289,Pintura Colonial,18,Cultura,26,6,5,1,2
290,Arte Moderno,9,Cultura,35,1,1,1,0
291,Cerámica Indígena,17,Arte,22,1,2,0,2
292,Escultura Religiosa,13,Cultura,40,1,3,1,0
293,Cerámica Indígena,16,Arte,30,1,2,0,2
294,Escultura Religiosa,8,Arte,29,5,3,0,2
295,Pintura Colonial,17,Arte,37,5,5,0,0
296,Escultura Religiosa,8,Cultura,32,3,3,1,2
297,Escultura Religiosa,8,Historia,28,3,3,2,2
298,Fotografía Histórica,14,Arte,17,5,4,0,2
299,Arte Moderno,9,Arte,69,4,1,0,1
300,Pintura Colonial,5,Historia,36,1,5,2,0
301,Cerámica Indígena,19,Historia,30,5,2,2,2
302,Escultura Religiosa,13,Arte,16,3,3,0,2
303,Escultura Religiosa,3,Arte,69,5,3,0,1
304,Cerámica Indígena,19,Cultura,53,6,2,1,1
305,Fotografía Histórica,18,Historia,67,4,4,2,1
306,Pintura Colonial,17,Cultura,24,6,5,1,2
307,Pintura Colonial,8,Historia,15,6,5,2,2
308,Pintura Colonial,4,Historia,28,6,5,2,2
309,Escultura Religiosa,5,Arte,51,1,3,0,1
310,Pintura Colonial,15,Cultura,23,1,5,1,2
311,Pintura Colonial,5,Cultura,51,5,5,1,1
312,Cerámica Indígena,12,Arte,53,6,2,0,1
313,Arte Moderno,14,Arte,39,4,1,0,0
314,Fotografía Histórica,9,Historia,68,5,4,2,1
315,Arte Moderno,14,Arte,24,3,1,0,2
316,Escultura Religiosa,10,Historia,17,6,3,2,2
317,Cerámica Indígena,6,Arte,61,1,2,0,1
318,Pintura Colonial,4,Arte,63,5,5,0,1
319,Arte Moderno,11,Cultura,64,2,1,1,1
320,Arquitectura Antigua,18,Cultura,46,3,0,1,0
321,Arquitectura Antigua,14,Historia,61,1,0,2,1
322,Pintura Colonial,5,Arte,51,2,5,0,1
323,Arte Moderno,10,Cultura,42,5,1,1,0
324,Pintura Colonial,4,Historia,48,4,5,2,0
325,Escultura Religiosa,10,Cultura,54,1,3,1,1
326,Cerámica Indígena,12,Cultura,48,4,2,1,0
327,Arquitectura Antigua,9,Cultura,19,2,0,1,2
328,Escultura Religiosa,7,Historia,62,5,3,2,1
329,Fotografía Histórica,6,Historia,31,2,4,2,2
330,Cerámica Indígena,4,Arte,54,3,2,0,1
331,Cerámica Indígena,14,Historia,20,3,2,2,2
332,Fotografía Histórica,2,Cultura,62,1,4,1,1
333,Cerámica Indígena,12,Historia,39,5,2,2,0
334,Escultura Religiosa,5,Cultura,41,6,3,1,0
335,Fotografía Histórica,8,Historia,57,5,4,2,1
336,Escultura Religiosa,11,Arte,46,3,3,0,0
337,Cerámica Indígena,8,Cultura,32,4,2,1,2
338,Escultura Religiosa,15,Historia,43,4,3,2,0
339,Escultura Religiosa,14,Arte,41,1,3,0,0
340,Pintura Colonial,18,Cultura,48,4,5,1,0
341,Cerámica Indígena,4,Arte,33,6,2,0,0
342,Escultura Religiosa,10,Arte,42,4,3,0,0
343,Arquitectura Antigua,6,Historia,36,4,0,2,0
344,Fotografía Histórica,5,Arte,18,3,4,0,2
345,Pintura Colonial,13,Arte,31,2,5,0,2
346,Arquitectura Antigua,2,Arte,40,3,0,0,0
347,Escultura Religiosa,19,Arte,61,5,3,0,1
348,Fotografía Histórica,5,Cultura,49,4,4,1,0
349,Cerámica Indígena,13,Cultura,43,3,2,1,0
350,Pintura Colonial,7,Cultura,29,3,5,1,2
351,Arte Moderno,3,Arte,48,5,1,0,0
352,Fotografía Histórica,18,Cultura,27,1,4,1,2
353,Cerámica Indígena,12,Arte,61,6,2,0,1
354,Fotografía Histórica,12,Cultura,17,1,4,1,2
355,Arquitectura Antigua,13,Historia,35,5,0,2,0
356,Arte Moderno,7,Cultura,19,3,1,1,2
357,Arte Moderno,2,Arte,52,2,1,0,1
358,Cerámica Indígena,4,Historia,39,4,2,2,0
359,Escultura Religiosa,16,Cultura,22,4,3,1,2
360,Arquitectura Antigua,18,Historia,67,3,0,2,1
361,Arquitectura Antigua,19,Cultura,17,5,0,1,2
362,Fotografía Histórica,4,Arte,29,1,4,0,2
363,Arquitectura Antigua,15,Cultura,31,6,0,1,2
364,Fotografía Histórica,5,Historia,52,1,4,2,1
365,Fotografía Histórica,3,Cultura,27,1,4,1,2
366,Cerámica Indígena,19,Arte,32,6,2,0,2
367,Arquitectura Antigua,12,Historia,39,1,0,2,0
368,Fotografía Histórica,7,Historia,22,3,4,2,2
369,Arquitectura Antigua,10,Historia,26,1,0,2,2
370,Arquitectura Antigua,16,Arte,36,4,0,0,0
371,Fotografía Histórica,2,Arte,54,2,4,0,1
372,Fotografía Histórica,2,Arte,47,1,4,0,0
373,Pintura Colonial,14,Arte,47,5,5,0,0
374,Fotografía Histórica,8,Arte,52,2,4,0,1
375,Arquitectura Antigua,19,Cultura,48,2,0,1,0
376,Fotografía Histórica,18,Cultura,17,3,4,1,2
377,Arquitectura Antigua,10,Arte,23,1,0,0,2
378,Escultura Religiosa,13,Arte,42,6,3,0,0
379,Fotografía Histórica,16,Cultura,21,3,4,1,2
380,Fotografía Histórica,17,Arte,36,2,4,0,0
381,Arte Moderno,10,Arte,28,3,1,0,2
382,Escultura Religiosa,13,Cultura,26,5,3,1,2
383,Pintura Colonial,14,Cultura,33,6,5,1,0
384,Fotografía Histórica,14,Historia,69,5,4,2,1
385,Arte Moderno,13,Arte,20,2,1,0,2
386,Arte Moderno,6,Historia,17,4,1,2,2
387,Escultura Religiosa,4,Historia,43,6,3,2,0
388,Pintura Colonial,8,Historia,44,5,5,2,0
389,Escultura Religiosa,6,Arte,34,4,3,0,0
390,Escultura Religiosa,18,Cultura,46,1,3,1,0
391,Fotografía Histórica,3,Arte,29,2,4,0,2
392,Fotografía Histórica,7,Cultura,56,3,4,1,1
393,Arte Moderno,13,Cultura,59,2,1,1,1
394,Cerámica Indígena,16,Historia,49,2,2,2,0
395,Fotografía Histórica,17,Arte,37,2,4,0,0
396,Fotografía Histórica,15,Arte,16,5,4,0,2
397,Cerámica Indígena,7,Historia,55,6,2,2,1
398,Arquitectura Antigua,16,Arte,53,1,0,0,1
399,Fotografía Histórica,3,Cultura,20,1,4,1,2
400,Arte Moderno,3,Cultura,51,5,1,1,1
401,Pintura Colonial,9,Historia,37,3,5,2,0
402,Escultura Religiosa,4,Arte,28,2,3,0,2
403,Cerámica Indígena,11,Arte,55,1,2,0,1
404,Cerámica Indígena,9,Cultura,26,1,2,1,2
405,Pintura Colonial,12,Historia,61,5,5,2,1
406,Fotografía Histórica,6,Historia,63,4,4,2,1
407,Fotografía Histórica,16,Cultura,20,4,4,1,2
408,Arte Moderno,19,Arte,16,1,1,0,2
409,Cerámica Indígena,2,Cultura,49,6,2,1,0
410,Cerámica Indígena,6,Historia,63,3,2,2,1
411,Arquitectura Antigua,13,Arte,34,5,0,0,0
412,Escultura Religiosa,12,Arte,48,1,3,0,0
413,Escultura Religiosa,8,Cultura,61,3,3,1,1
414,Escultura Religiosa,13,Arte,34,6,3,0,0
415,Cerámica Indígena,17,Arte,56,4,2,0,1
416,Escultura Religiosa,2,Cultura,22,5,3,1,2
417,Arquitectura Antigua,6,Cultura,36,2,0,1,0
418,Pintura Colonial,12,Arte,44,2,5,0,0
419,Escultura Religiosa,18,Arte,22,1,3,0,2
420,Fotografía Histórica,9,Historia,60,4,4,2,1
421,Pintura Colonial,2,Cultura,45,6,5,1,0
422,Cerámica Indígena,17,Historia,55,2,2,2,1
423,Arquitectura Antigua,3,Arte,20,1,0,0,2
424,Pintura Colonial,10,Historia,62,5,5,2,1
425,Pintura Colonial,14,Cultura,55,3,5,1,1
426,Fotografía Histórica,3,Historia,52,6,4,2,1
427,Fotografía Histórica,7,Cultura,20,2,4,1,2
428,Escultura Religiosa,14,Historia,37,3,3,2,0
429,Cerámica Indígena,12,Historia,38,6,2,2,0
430,Arquitectura Antigua,8,Historia,35,1,0,2,0
431,Fotografía Histórica,8,Cultura,35,3,4,1,0
432,Fotografía Histórica,2,Historia,46,1,4,2,0
433,Arte Moderno,13,Arte,40,3,1,0,0
434,Arte Moderno,9,Arte,28,2,1,0,2
435,Escultura Religiosa,15,Historia,17,5,3,2,2
436,Escultura Religiosa,9,Arte,20,4,3,0,2
437,Cerámica Indígena,13,Historia,48,5,2,2,0
438,Fotografía Histórica,5,Cultura,57,6,4,1,1
439,Arquitectura Antigua,19,Cultura,57,5,0,1,1
440,Cerámica Indígena,12,Cultura,30,5,2,1,2
441,Fotografía Histórica,16,Historia,50,3,4,2,0
442,Arte Moderno,16,Historia,27,6,1,2,2
443,Arte Moderno,3,Arte,18,5,1,0,2
444,Fotografía Histórica,15,Cultura,43,4,4,1,0
445,Arte Moderno,9,Arte,50,6,1,0,0
446,Escultura Religiosa,3,Historia,27,4,3,2,2
447,Escultura Religiosa,12,Cultura,45,4,3,1,0
448,Escultura Religiosa,8,Historia,45,1,3,2,0
449,Escultura Religiosa,11,Arte,21,6,3,0,2
450,Pintura Colonial,13,Historia,56,3,5,2,1
451,Cerámica Indígena,10,Arte,23,2,2,0,2
452,Escultura Religiosa,11,Historia,40,3,3,2,0
453,Cerámica Indígena,5,Arte,38,3,2,0,0
454,Fotografía Histórica,8,Arte,39,2,4,0,0
455,Arte Moderno,5,Arte,47,2,1,0,0
456,Cerámica Indígena,16,Historia,49,4,2,2,0
457,Escultura Religiosa,2,Cultura,35,1,3,1,0
458,Arquitectura Antigua,17,Historia,29,3,0,2,2
459,Fotografía Histórica,8,Cultura,24,1,4,1,2
460,Arquitectura Antigua,14,Historia,39,2,0,2,0
461,Arte Moderno,8,Historia,32,3,1,2,2
462,Escultura Religiosa,8,Historia,63,3,3,2,1
463,Fotografía Histórica,15,Cultura,18,2,4,1,2
464,Arquitectura Antigua,11,Cultura,59,6,0,1,1
465,Fotografía Histórica,9,Historia,47,4,4,2,0
466,Arte Moderno,10,Historia,20,1,1,2,2
467,Fotografía Histórica,14,Historia,16,4,4,2,2
468,Cerámica Indígena,13,Cultura,46,5,2,1,0
469,Arquitectura Antigua,9,Arte,17,6,0,0,2
470,Fotografía Histórica,4,Arte,20,2,4,0,2
471,Fotografía Histórica,3,Arte,31,3,4,0,2
472,Escultura Religiosa,9,Arte,58,2,3,0,1
473,Fotografía Histórica,6,Historia,43,1,4,2,0
474,Escultura Religiosa,17,Historia,30,4,3,2,2
475,Fotografía Histórica,4,Arte,59,4,4,0,1
476,Arte Moderno,9,Arte,19,4,1,0,2
477,Fotografía Histórica,2,Historia,44,5,4,2,0
478,Fotografía Histórica,7,Arte,32,1,4,0,2
479,Cerámica Indígena,17,Arte,66,2,2,0,1
480,Cerámica Indígena,15,Historia,37,2,2,2,0
481,Cerámica Indígena,3,Historia,35,2,2,2,0
482,Arte Moderno,10,Historia,25,3,1,2,2
483,Fotografía Histórica,5,Arte,69,6,4,0,1
484,Arte Moderno,12,Cultura,36,4,1,1,0
485,Cerámica Indígena,11,Cultura,63,2,2,1,1
486,Arquitectura Antigua,19,Historia,49,6,0,2,0
487,Escultura Religiosa,15,Arte,17,4,3,0,2
488,Arquitectura Antigua,10,Cultura,35,3,0,1,0
489,Escultura Religiosa,3,Cultura,32,6,3,1,2
490,Fotografía Histórica,19,Arte,39,2,4,0,0
491,Pintura Colonial,2,Cultura,28,1,5,1,2
492,Arquitectura Antigua,17,Arte,60,5,0,0,1
493,Fotografía Histórica,4,Cultura,55,6,4,1,1
494,Pintura Colonial,14,Historia,48,5,5,2,0
495,Escultura Religiosa,5,Historia,29,4,3,2,2
496,Cerámica Indígena,13,Historia,45,6,2,2,0
